                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2556,                 1.0433,                 1.8467,                0.93527,                0.99627,                0.99093,                 0.7148,                0.97599,                0.79313,                 1.7623,             0.00038507,             0.00038507,             0.00038507
                     35,                 1.2676,                0.99325,                 1.8937,                0.88822,                0.99517,                0.98756,                0.72548,                0.93395,                0.80336,                 1.7495,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.2105,                 1.0039,                 1.8436,                0.98561,                0.99375,                  0.995,                 0.7203,                0.91782,                0.65628,                 1.7851,             0.00034108,             0.00034108,             0.00034108
                     37,                 1.2337,                 1.0072,                 1.8273,                0.98646,                      1,                  0.995,                0.70863,                 1.0047,                0.71523,                 1.7879,             0.00031908,             0.00031908,             0.00031908
                     38,                 1.2281,                 0.9407,                 1.8648,                0.94461,                0.99949,                0.98457,                0.72416,                0.92257,                0.75061,                 1.7427,             0.00029708,             0.00029708,             0.00029708
                     39,                 1.1854,                0.95646,                 1.8126,                0.99126,                0.99014,                0.99441,                0.69988,                  1.029,                0.70129,                 1.8101,             0.00027508,             0.00027508,             0.00027508
                     40,                 1.2346,                0.95981,                 1.8635,                0.99539,                  0.992,                0.99469,                0.69993,                 1.0413,                0.64259,                 1.8168,             0.00025309,             0.00025309,             0.00025309
                     41,                 1.1273,                0.75116,                 1.9174,                 0.9942,                0.99416,                  0.995,                0.71222,                 1.0269,                0.63262,                 1.8111,             0.00023109,             0.00023109,             0.00023109
                     42,                 1.0724,                0.66684,                  1.859,                0.89847,                0.94158,                0.99144,                0.70874,                 1.0665,                0.78014,                 1.8351,             0.00020909,             0.00020909,             0.00020909
                     43,                 1.0842,                0.65119,                 1.8985,                0.98466,                  0.984,                0.99315,                0.72328,                0.94048,                0.59756,                 1.7799,             0.00018709,             0.00018709,             0.00018709
                     44,                 1.0615,                  0.626,                 1.8424,                 0.9913,                0.98716,                0.99441,                0.74698,                0.90484,                0.54413,                 1.7494,             0.00016509,             0.00016509,             0.00016509
                     45,                 1.0591,                0.61384,                 1.8789,                0.99587,                0.98544,                0.99469,                0.73359,                0.95033,                0.56414,                 1.8017,              0.0001431,              0.0001431,              0.0001431
                     46,                 1.0505,                0.59645,                 1.8367,                0.99393,                  0.984,                0.99438,                0.73397,                0.92924,                0.53145,                 1.7391,              0.0001211,              0.0001211,              0.0001211
                     47,                 1.0482,                 0.5818,                 1.8558,                0.98768,                0.99258,                0.99469,                0.73833,                 0.9561,                0.54589,                 1.7632,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                 1.0379,                0.58439,                 1.7903,                 0.9861,                0.99241,                0.99438,                0.74252,                0.89892,                0.51087,                 1.7532,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                  1.017,                0.56312,                 1.8008,                0.99441,                0.99017,                0.99469,                0.74377,                0.92996,                0.51302,                 1.7477,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 1.0389,                0.56558,                 1.8055,                0.99654,                0.99136,                0.99469,                0.74852,                0.91666,                0.50281,                 1.7353,             3.3108e-05,             3.3108e-05,             3.3108e-05
